OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
PEA15,PLD1,Reconstituted Complex
MAP3K10,RAC1,Reconstituted Complex
MAP3K10,CDC42,Reconstituted Complex
PLD1,PEA15,Affinity Capture-Western
PLD2,PEA15,Affinity Capture-Western
MAP3K10,KIF17,Two-hybrid
MAP3K10,KIF3A,Two-hybrid
MAP3K10,KIFAP3,Two-hybrid
MAP3K11,KIF17,Two-hybrid
MAP3K11,KIF3A,Two-hybrid
MAP3K11,KIFAP3,Two-hybrid
MAP3K11,KIF3B,Two-hybrid
MAP3K10,YWHAE,Affinity Capture-Western
MAP3K10,HPCA,Affinity Capture-Western
KIF3A,MAP3K10,Affinity Capture-Western
YWHAQ,CBL,Reconstituted Complex
DPM1,DPM2,Co-purification
DPM1,DPM3,Co-purification
COL1A1,SPARC,Reconstituted Complex
COL3A1,SPARC,Reconstituted Complex
COL5A1,SPARC,Reconstituted Complex
ITGB2,ICAM1,Reconstituted Complex
IKZF4,IKZF5,Reconstituted Complex
IKZF5,IKZF4,Reconstituted Complex
IKZF1,IKZF4,Reconstituted Complex
IKZF1,IKZF5,Reconstituted Complex
IKZF3,IKZF4,Reconstituted Complex
IKZF3,IKZF5,Reconstituted Complex
PPP5C,GNA12,Reconstituted Complex
PPP5C,GNA13,Reconstituted Complex
GNA12,PPP5C,Affinity Capture-Western
IKZF5,IKZF5,Two-hybrid
IKZF5,IKZF4,Two-hybrid
IKZF5,IKZF1,Two-hybrid
IKZF5,IKZF3,Two-hybrid
MAP3K5,QARS,Affinity Capture-Western
GRB2,TNFRSF1A,Affinity Capture-Western
IL5RA,UNC119,Affinity Capture-Western
IL5RA,UNC119,Two-hybrid
UNC119,LYN,Reconstituted Complex
UNC119,HCK,Reconstituted Complex
MMP7,FASLG,Biochemical Activity
LYN,UNC119,Affinity Capture-Western
BUB1B,CDC20,Affinity Capture-Western
BUB1B,CDC20,Two-hybrid
CDC20,BUB1B,Reconstituted Complex
TNFSF8,TNFRSF8,Reconstituted Complex
TGFBR2,ENG,Affinity Capture-Western
TGFBR1,ENG,Affinity Capture-Western
ENG,TGFBR1,Affinity Capture-Western
ENG,TGFBR2,Affinity Capture-Western
TGFBR1,ENG,Biochemical Activity
TGFBR2,ENG,Biochemical Activity
CDC42EP5,7-Sep,Reconstituted Complex
CDC42EP5,2-Sep,Reconstituted Complex
CDC42EP5,6-Sep,Reconstituted Complex
CDC42EP2,7-Sep,Reconstituted Complex
CDC42EP2,6-Sep,Reconstituted Complex
CDC42EP3,7-Sep,Reconstituted Complex
CDC42EP3,6-Sep,Reconstituted Complex
POLH,PCNA,Two-hybrid
POLH,PCNA,Reconstituted Complex
MAP3K8,CHUK,Biochemical Activity
MAP3K14,MAP3K8,Affinity Capture-Western
CHUK,MAP3K8,Affinity Capture-Western
TRAF2,TRADD,Affinity Capture-Western
TRAF2,RIPK1,Affinity Capture-Western
TRAF2,TRAF1,Affinity Capture-Western
TRAF2,TNFRSF1B,Affinity Capture-Western
TRAF2,TRAF2,Affinity Capture-Western
JAK1,TEC,Affinity Capture-Western
JAK2,TEC,Affinity Capture-Western
JAK1,BTK,Affinity Capture-Western
TEC,PIK3R2,Two-hybrid
CTGF,VEGFA,Affinity Capture-Western
VEGFA,CTGF,Reconstituted Complex
PSEN1,PKP4,Affinity Capture-Western
PSEN1,PKP4,Reconstituted Complex
PSEN1,PKP4,Two-hybrid
BCL2,RRAS,Two-hybrid
BCL2,RRAS,Affinity Capture-Western
ORC5,ORC4,Affinity Capture-Western
ORC5,ORC2,Affinity Capture-Western
GSK3B,NFKB1,Biochemical Activity
CAV1,GRK5,Reconstituted Complex
CAV1,GRK1,Reconstituted Complex
CAV1,ADRBK1,Reconstituted Complex
PAK1,ERBB2,Affinity Capture-Western
SMAD3,SKIL,Affinity Capture-Western
SKIL,SMAD2,Affinity Capture-Western
SKIL,SMAD3,Affinity Capture-Western
SMAD3,CDC27,Affinity Capture-Western
SMAD3,CDC16,Affinity Capture-Western
SMAD2,CDC27,Affinity Capture-Western
SMAD2,CDC16,Affinity Capture-Western
SKIL,FZR1,Affinity Capture-Western
DGKZ,SNTA1,Reconstituted Complex
DGKZ,SNTB1,Reconstituted Complex
DGKZ,SNTB2,Reconstituted Complex
DDX17,SNRNP70,Co-purification
CAND2,CNOT3,Two-hybrid
CNOT3,CAND2,Reconstituted Complex
RXRA,MYOD1,Reconstituted Complex
MYOD1,RXRA,Reconstituted Complex
MEIS1,HOXA9,Reconstituted Complex
STAT5A,ESR1,Reconstituted Complex
STAT5A,ESR2,Reconstituted Complex
PTK2,EGFR,Affinity Capture-Western
GRB2,PTK2,Affinity Capture-Western
BMPR2,BMP4,Affinity Capture-Western
CD22,PTPN6,Affinity Capture-Western
CD22,GRB2,Affinity Capture-Western
CD38,FCGR3A,FRET
APOD,APOD,Co-purification
APOD,APOA2,Co-purification
APOF,APOA2,Co-purification
APOF,APOA1,Co-purification
JAK2,PTPN12,Affinity Capture-Western
IPO13,RPL5,Reconstituted Complex
IPO13,RBM8A,Reconstituted Complex
IPO13,UBE2I,Reconstituted Complex
IPO13,NUP50,Reconstituted Complex
IPO13,EIF1AX,Reconstituted Complex
IPO13,MAGOH,Reconstituted Complex
UBE2I,IPO13,Reconstituted Complex
RBM8A,IPO13,Reconstituted Complex
EIF1AX,IPO13,Reconstituted Complex
TBP,GTF2A1,Reconstituted Complex
GTF2F1,GTF2A1,Reconstituted Complex
GTF2E1,GTF2A1,Reconstituted Complex
GTF2E2,GTF2A1,Reconstituted Complex
TNFRSF12A,TRAF1,Reconstituted Complex
TNFRSF12A,TRAF2,Reconstituted Complex
TRA2B,RBMX,Affinity Capture-Western
TRA2B,RBMX,Reconstituted Complex
ENO1,PLG,Reconstituted Complex
GRB2,PTPN11,Affinity Capture-Western
FLT4,VEGFC,Affinity Capture-Western
RELA,NOTCH1,Affinity Capture-Western
NFKB1,NOTCH1,Affinity Capture-Western
NOTCH1,NFKB1,Reconstituted Complex
S100B,IQGAP1,Affinity Capture-Western
IQGAP1,S100B,Reconstituted Complex
TRPC3,TRPC3,Affinity Capture-Western
TRPC3,TRPC6,Affinity Capture-Western
TRPC4,TRPC4,Affinity Capture-Western
TRPC6,TRPC6,Affinity Capture-Western
TRPC5,TRPC4,Affinity Capture-Western
TRPC1,TRPC4,Affinity Capture-Western
TRPC2,TRPC2,Affinity Capture-Western
TRPC1,TRPC1,FRET
TRPC1,TRPC4,FRET
TRPC2,TRPC2,FRET
TRPC3,TRPC6,FRET
TRPC3,TRPC7,FRET
TRPC4,TRPC4,FRET
TRPC4,TRPC5,FRET
TRPC3,TRPC3,FRET
TRPC1,TRPC5,FRET
TRPC6,TRPC6,FRET
TRPC6,TRPC7,FRET
TRPC7,TRPC7,FRET
MAPK7,SGK1,Two-hybrid
SGK1,MAPK7,Reconstituted Complex
MAPK7,SGK1,Biochemical Activity
CASK,DLG4,Affinity Capture-Western
CASK,DLG1,Affinity Capture-Western
NR5A1,GATA4,Reconstituted Complex
DLG4,HGS,Two-hybrid
DLG4,HGS,Affinity Capture-Western
SPI1,GATA2,Affinity Capture-Western
SPI1,GATA2,Two-hybrid
SPI1,GATA2,Reconstituted Complex
DLG4,CASK,Two-hybrid
SLA,ZAP70,Affinity Capture-Western
SLA,CD247,Affinity Capture-Western
SLA,SYK,Affinity Capture-Western
SLA,LAT,Affinity Capture-Western
CBL,SLA,Reconstituted Complex
PTPN1,GSK3B,Biochemical Activity
SYNGAP1,DLG4,Two-hybrid
SYNGAP1,DLG3,Two-hybrid
DLG3,SYNGAP1,Affinity Capture-Western
PSMC3IP,NR3C1,Affinity Capture-Western
GGH,GGH,Co-crystal Structure
HRAS,BRAF,Reconstituted Complex
PPIA,PPP3R1,Co-crystal Structure
PPIA,PPP3CA,Co-crystal Structure
TNKS,TNKS1BP1,Two-hybrid
TNKS2,TNKS1BP1,Two-hybrid
TNKS,TERF1,Two-hybrid
TNKS1BP1,TNKS,Reconstituted Complex
TERF1,TNKS,Reconstituted Complex
TNKS1BP1,TNKS,Affinity Capture-Western
CDH23,USH1C,Two-hybrid
