OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
ARHGEF1,GNA13,Affinity Capture-Western
ARHGEF1,GNA12,Affinity Capture-Western
RGS4,GNAQ,Affinity Capture-Western
RGS16,GNAQ,Affinity Capture-Western
PFDN1,ACTA1,Reconstituted Complex
PFDN1,TUBA1A,Reconstituted Complex
PFDN2,VBP1,Co-purification
PFDN5,PFDN6,Co-purification
E2F7,E2F7,Affinity Capture-Western
MAP3K7,TAB3,Affinity Capture-Western
TAB3,TAB2,Affinity Capture-Western
TAB3,MAP3K7,Affinity Capture-Western
MAP3K7,MAP2K6,Biochemical Activity
MAPK8,JUN,Biochemical Activity
TAB3,TAB3,Affinity Capture-Western
TAB2,TAB3,Affinity Capture-Western
TAB2,TAB2,Affinity Capture-Western
TAB2,TRAF6,Affinity Capture-Western
TAB3,TRAF6,Affinity Capture-Western
TRAF6,MAP3K7,Affinity Capture-Western
TRAF2,MAP3K7,Affinity Capture-Western
TAB3,TRAF2,Affinity Capture-Western
SCEL,TXNIP,Two-hybrid
LMAN1,F8,Affinity Capture-Western
MAGI1,FCHSD2,Two-hybrid
FCHSD2,MAGI1,Reconstituted Complex
FCHSD2,MAGI1,Affinity Capture-Western
FCHSD2,CASK,Reconstituted Complex
AATF,PAWR,Affinity Capture-Western
PAWR,AATF,Affinity Capture-Western
BPY2,MAP1S,Two-hybrid
BPY2,MAP1S,Reconstituted Complex
CDH2,CTNNA1,Affinity Capture-MS
CDH2,CTNNB1,Affinity Capture-MS
CDH2,JUP,Affinity Capture-MS
CDH2,CTNND1,Affinity Capture-MS
CDH2,CDH11,Affinity Capture-MS
CDH11,CDH2,Affinity Capture-MS
EZR,AHNAK,Affinity Capture-MS
EZR,PPL,Affinity Capture-MS
EZR,SPTA1,Affinity Capture-MS
EZR,PRX,Affinity Capture-MS
BTK,GTF2I,Affinity Capture-Western
BTK,GTF2I,Reconstituted Complex
DYRK1A,SRSF4,Biochemical Activity
DYRK1A,CCNL2,Biochemical Activity
DYRK1A,SRSF5,Biochemical Activity
DYRK1A,CLASRP,Biochemical Activity
DYRK1A,SRSF1,Biochemical Activity
NCL,S100A11,Reconstituted Complex
NCL,S100A11,Affinity Capture-Western
NCL,SP1,Affinity Capture-Western
ZNF423,PARP1,Affinity Capture-Western
ZNF423,PARP1,Two-hybrid
EIF4E2,ARIH1,Affinity Capture-Western
EIF4E2,UBE2L3,Affinity Capture-Western
ARIH1,UBE2L3,Two-hybrid
ARIH1,EIF4E2,Two-hybrid
S100P,AGER,Affinity Capture-Western
POLR2E,URI1,Reconstituted Complex
TRPC1,GRM1,Affinity Capture-Western
ZFYVE16,TOM1,Two-hybrid
TOM1,ZFYVE16,Reconstituted Complex
ZFYVE16,TOM1,Affinity Capture-Western
TOM1,ZFYVE16,Affinity Capture-Western
PYGO1,BCL9,Reconstituted Complex
EID2,SMAD2,Affinity Capture-Western
EID2,SMAD3,Affinity Capture-Western
EID2,SMAD4,Affinity Capture-Western
SMAD2,EID2,Affinity Capture-Western
SMAD3,EID2,Affinity Capture-Western
SMAD4,EID2,Affinity Capture-Western
EID2,SMAD3,Reconstituted Complex
MDM2,RPL11,Affinity Capture-MS
MDM2,RPL5,Affinity Capture-MS
MDM2,CDKN2A,Affinity Capture-MS
MDM2,TP53,Affinity Capture-Western
MDM2,CDKN2A,Affinity Capture-Western
MDM2,RPL11,Affinity Capture-Western
RPL11,CDKN2A,Affinity Capture-Western
RPL11,TP53,Affinity Capture-Western
RPL11,MDM2,Affinity Capture-Western
CDKN2A,RPL11,Affinity Capture-Western
CDKN2A,TP53,Affinity Capture-Western
CDKN2A,MDM2,Affinity Capture-Western
TP53,CDKN2A,Affinity Capture-Western
TP53,RPL11,Affinity Capture-Western
TP53,MDM2,Affinity Capture-Western
KLF5,SET,Affinity Capture-MS
KLF5,SET,Reconstituted Complex
KLF5,SET,Affinity Capture-Western
KLF5,EP300,Affinity Capture-Western
RAD9B,HUS1,Affinity Capture-Western
RAD9B,RAD17,Affinity Capture-Western
RAD9B,RAD1,Affinity Capture-Western
RAD9A,RAD1,Reconstituted Complex
RAD9A,HUS1,Reconstituted Complex
