OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
MAP2K4,FLNC,Two-hybrid
MYPN,ACTN2,Two-hybrid
ACVR1,FNTA,Two-hybrid
GATA2,PML,Two-hybrid
RPA2,STAT3,Two-hybrid
ARF1,GGA3,Two-hybrid
ARF3,ARFIP2,Two-hybrid
ARF3,ARFIP1,Two-hybrid
XRN1,ALDOA,Two-hybrid
APP,APPBP2,Two-hybrid
APLP1,DAB1,Two-hybrid
CITED2,TFAP2A,Two-hybrid
EP300,TFAP2A,Two-hybrid
APOB,MTTP,Two-hybrid
ARRB2,RALGDS,Two-hybrid
CSF1R,GRB2,Two-hybrid
PRRC2A,GRB2,Two-hybrid
LSM1,NARS,Two-hybrid
SLC4A1,SLC4A1AP,Two-hybrid
BCL3,BARD1,Two-hybrid
ADRB1,GIPC1,Two-hybrid
BRCA1,ATF1,Two-hybrid
BRCA1,MSH2,Two-hybrid
BRCA1,BARD1,Two-hybrid
BRCA1,MSH6,Two-hybrid
ARVCF,CDH15,Two-hybrid
PCBD1,CACNA1C,Two-hybrid
PSEN2,CAPN1,Two-hybrid
CAPN3,TTN,Two-hybrid
ITPR1,CA8,Two-hybrid
MAGI1,CTNNB1,Two-hybrid
RB1,CUX1,Two-hybrid
TSG101,CDKN1A,Two-hybrid
ORC1,MCM2,Two-hybrid
ORC4,MCM2,Two-hybrid
MCM5,MCM2,Two-hybrid
CDC7,MCM2,Two-hybrid
ORC2,MCM2,Two-hybrid
RPA2,MCM2,Two-hybrid
DBF4,MCM2,Two-hybrid
AKAP8,MCM2,Two-hybrid
MCM2,MCM2,Two-hybrid
RPA1,MCM2,Two-hybrid
RPA3,MCM2,Two-hybrid
ORC5,MCM2,Two-hybrid
MCM3,MCM2,Two-hybrid
YWHAZ,CDC25A,Two-hybrid
DOCK8,CDC42,Two-hybrid
TRIP10,CDC42,Two-hybrid
CDKN3,CDK2,Two-hybrid
RBBP8,RBL1,Two-hybrid
HAND2,CENPB,Two-hybrid
CLTC,HGS,Two-hybrid
IGFBP3,COL1A1,Two-hybrid
TXN,COL1A1,Two-hybrid
ATF2,SMAD3,Two-hybrid
ATF2,SMAD4,Two-hybrid
CCND3,EIF3K,Two-hybrid
RALBP1,CCNB1,Two-hybrid
PPIB,CAMLG,Two-hybrid
CSRP1,CSRP1,Two-hybrid
CSK,INSR,Two-hybrid
CSK,IGF1R,Two-hybrid
DCN,EGFR,Two-hybrid
SIM2,ARNT,Two-hybrid
SIM1,ARNT,Two-hybrid
NPAS4,ARNT,Two-hybrid
HBEGF,ZBTB16,Two-hybrid
PCNA,GADD45A,Two-hybrid
TOPBP1,TOP2B,Two-hybrid
FLNA,DRD3,Two-hybrid
LSM3,SNRPE,Two-hybrid
LSM4,SNRPE,Two-hybrid
LSM5,SNRPE,Two-hybrid
EP300,EGR1,Two-hybrid
CREBBP,EGR1,Two-hybrid
NUMA1,EPB41,Two-hybrid
EXOSC4,EEF1A1,Two-hybrid
PLCG1,EEF1A1,Two-hybrid
KTN1,EEF1D,Two-hybrid
KDR,ANXA5,Two-hybrid
PPARGC1B,ESR1,Two-hybrid
SMARCA4,ESR1,Two-hybrid
DDX54,ESR1,Two-hybrid
ESR1,DNTTIP2,Two-hybrid
FGFR1,FDPS,Two-hybrid
TGFB1,FNTA,Two-hybrid
SUMO1,FAS,Two-hybrid
MPP6,FTL,Two-hybrid
PRRC2A,FGA,Two-hybrid
FLNA,ITGB1,Two-hybrid
FGFR1,FRS3,Two-hybrid
GABRG2,GABARAP,Two-hybrid
SFN,NR3C1,Two-hybrid
TGFB1I1,NR3C1,Two-hybrid
NR3C1,ECD,Two-hybrid
GCK,PFKFB2,Two-hybrid
HSPA5,DPH1,Two-hybrid
SLC2A2,KPNA2,Two-hybrid
SLC2A4,DAXX,Two-hybrid
GRIK2,SDCBP,Two-hybrid
GRIK2,PICK1,Two-hybrid
GRIK1,PICK1,Two-hybrid
GRIK1,SDCBP,Two-hybrid
CCNT1,GRN,Two-hybrid
RGS19,GNAZ,Two-hybrid
RGS19,GNAO1,Two-hybrid
RGS19,GNAI2,Two-hybrid
RGS19,GNAI3,Two-hybrid
HSF2,UBE2I,Two-hybrid
LIMK1,NRG1,Two-hybrid
FGF7,HSPG2,Two-hybrid
PRRC2A,MAD2L2,Two-hybrid
PRRC2A,P4HA2,Two-hybrid
PRRC2A,CCR10,Two-hybrid
C1QBP,PRRC2A,Two-hybrid
EIF3E,PRRC2A,Two-hybrid
PRRC2A,GANAB,Two-hybrid
HNRNPA1,PRRC2A,Two-hybrid
PRRC2A,PSMA3,Two-hybrid
HNRNPM,PRRC2A,Two-hybrid
PRRC2A,MAN2C1,Two-hybrid
PRRC2A,SSR3,Two-hybrid
PRRC2A,DDX20,Two-hybrid
UBAP2L,PRRC2A,Two-hybrid
IMMT,PRRC2A,Two-hybrid
PRRC2A,CPSF1,Two-hybrid
PRRC2A,PRMT2,Two-hybrid
PRRC2A,QARS,Two-hybrid
IFT88,PRRC2A,Two-hybrid
XRN1,BAG6,Two-hybrid
HTT,SETD2,Two-hybrid
HAP1,HTT,Two-hybrid
HTT,ZDHHC17,Two-hybrid
HYPK,HTT,Two-hybrid
TRIP10,HTT,Two-hybrid
MEF2D,YWHAQ,Two-hybrid
TCF3,HAND2,Two-hybrid
TCF3,ID3,Two-hybrid
IGF1R,IRS1,Two-hybrid
YWHAE,IGF1R,Two-hybrid
SOCS1,IGF1R,Two-hybrid
PTK2,IRS1,Two-hybrid
MAPK8,IRS1,Two-hybrid
INSR,IRS1,Two-hybrid
IL1A,NDN,Two-hybrid
JAK2,PRMT5,Two-hybrid
JAK2,SOCS1,Two-hybrid
BYSL,KRT8,Two-hybrid
KRT18,CBL,Two-hybrid
KRT18,DNAJB6,Two-hybrid
LMNA,LMNB1,Two-hybrid
LMNA,SREBF1,Two-hybrid
LMNA,NARF,Two-hybrid
MLLT4,BCR,Two-hybrid
BNIPL,BCL2,Two-hybrid
BNIP2,BCL2,Two-hybrid
SMN1,BCL2,Two-hybrid
TP53BP2,BCL2,Two-hybrid
RTN4,BCL2,Two-hybrid
BCL2,BECN1,Two-hybrid
NFKB1,LYL1,Two-hybrid
SKAP1,PTPRC,Two-hybrid
ALOX5,COTL1,Two-hybrid
VAV1,XRCC6,Two-hybrid
NCF4,XRCC6,Two-hybrid
XRCC5,XRCC6,Two-hybrid
MRE11A,XRCC6,Two-hybrid
CBX5,XRCC6,Two-hybrid
PIAS4,LEF1,Two-hybrid
MITF,LEF1,Two-hybrid
DHDDS,LOX,Two-hybrid
YBX1,SRSF9,Two-hybrid
ATRNL1,MC4R,Two-hybrid
ATF7IP,MBD1,Two-hybrid
CHAF1A,MBD1,Two-hybrid
MITF,PIAS3,Two-hybrid
MITF,PATZ1,Two-hybrid
MITF,UBE2I,Two-hybrid
ANP32A,MAP1B,Two-hybrid
MAP1B,ANP32A,Two-hybrid
MCM7,ORC1,Two-hybrid
MCM7,RB1,Two-hybrid
MCM7,DBF4,Two-hybrid
MCM7,CDC7,Two-hybrid
MCM7,ORC3,Two-hybrid
MCM7,RPA1,Two-hybrid
MCM7,FHL2,Two-hybrid
MCM7,ORC2,Two-hybrid
MCM7,ORC5,Two-hybrid
NOV,POLR2L,Two-hybrid
KMT2A,PPIE,Two-hybrid
KMT2A,PPP1R15A,Two-hybrid
KMT2A,KMT2A,Two-hybrid
MLLT4,RAP1GAP,Two-hybrid
MLLT4,PVRL1,Two-hybrid
MLLT4,PFN1,Two-hybrid
NEB,MYPN,Two-hybrid
NGFR,PRKACB,Two-hybrid
LSM7,NPY1R,Two-hybrid
SNCAIP,SNCA,Two-hybrid
NFKBIA,UBE2E3,Two-hybrid
EPB41L1,NUMA1,Two-hybrid
